fpr,tpr
0.0,0.0
0.0,0.5920634920634921
0.0,0.5968253968253968
0.002663115845539281,0.6603174603174603
0.003043560966330607,0.6611111111111111
0.0034240060871219328,0.6658730158730158
0.0036142286475175957,0.6666666666666666
0.006087121932661214,0.6753968253968254
0.00646756705345254,0.6761904761904762
0.007608902415826517,0.6777777777777778
0.011413353623739776,0.6952380952380952
0.013125356667300742,0.7
0.013696024348487731,0.7007936507936507
0.01807114323758798,0.7055555555555556
0.02073425908312726,0.7103174603174603
0.025109377972227506,0.7150793650793651
0.045653414494959105,0.7388888888888889
0.05725699067909454,0.7436507936507937
0.05782765836028153,0.7444444444444445
0.062012554688986116,0.7468253968253968
0.08750237778200494,0.7682539682539683
0.11128019783146281,0.7841269841269841
0.11565531672056306,0.7936507936507936
0.20886437131443789,0.8539682539682539
0.2098154841164162,0.8555555555555555
0.22636484687083888,0.8658730158730159
0.3020734259083127,0.8976190476190476
0.33365037093399275,0.9047619047619048
0.34544416967852387,0.9111111111111111
0.3929998097774396,0.9230158730158731
0.458246147993152,0.9349206349206349
0.6707247479551075,0.9793650793650793
0.6920296747194217,0.9817460317460317
0.693551455202587,0.9825396825396825
0.7987445311013887,0.9928571428571429
0.8042609853528628,0.9928571428571429
0.8303214761270686,0.9984126984126984
0.9610043751188891,1.0
1.0,1.0
